adc_mq135,adc_mq136,adc_mq137,adc_mq138,adc_mq2,adc_mq3,adc_tgs822,adc_tgs2620,status
20911,3041,13834,13825,6086,21726,13442,18578,preheat
20911,3038,13840,13839,6084,21725,13458,18585,preheat
20920,3041,13830,13845,6086,21713,13452,18582,preheat
20909,3055,13822,13826,6082,21726,13460,18571,preheat
20913,3051,13824,13836,6084,21712,13446,18570,preheat
20902,3053,13835,13820,6090,21718,13567,18579,preheat
20890,3031,13835,13838,6083,21704,13459,18587,preheat
20918,3043,13819,13834,6086,21713,13449,18574,preheat
20925,3045,13839,13840,6083,21735,13451,18573,preheat
20921,3038,13832,13842,6086,21715,13565,18572,preheat
20902,3039,13834,13836,6084,21738,13446,18581,preheat
20901,3058,13819,13836,6083,21718,13451,18584,preheat
20898,3051,13828,13831,6086,21719,13444,18577,preheat
20904,3067,13819,13834,6086,21719,13452,18583,preheat
20900,3047,13839,13835,6085,21736,13449,18577,preheat
20891,3061,13825,13832,6085,21734,13447,18582,preheat
20910,3054,13835,13844,6085,21710,13448,18589,preheat
20914,3052,13816,13832,6081,21721,13453,18584,preheat
20908,3026,13822,13831,6081,21726,13460,18582,preheat
20907,3040,13830,13821,6089,21728,13440,18569,preheat
20896,3040,13826,13832,6087,21730,13448,18586,preheat
20905,3041,13851,13835,6084,21724,13450,18582,preheat
20921,3054,13824,13843,6082,21735,13455,18575,preheat
20907,3027,13830,13834,6085,21736,13448,18577,preheat
20902,3042,13829,13834,6087,21721,13446,18575,preheat
20904,3062,13821,13826,6084,21719,13449,18580,preheat
20908,3044,13833,13833,6088,21728,13442,18570,preheat
20912,3049,13823,13834,6082,21724,13448,18575,preheat
20898,3036,13833,13841,6084,21729,13443,18579,preheat
20921,3044,13838,13817,6081,21710,13443,18578,preheat
20918,3040,13810,13828,6087,21736,13442,18576,preheat
20892,3046,13828,13839,6086,21707,13440,18573,preheat
20915,3048,13824,13838,6083,21723,13446,18581,preheat
20901,3041,13838,13837,6080,21747,13441,18577,preheat
20934,3035,13820,13831,6088,21743,13445,18583,preheat
20902,3066,13834,13838,6087,21727,13447,18589,preheat
20911,3031,13832,13841,6085,21711,13448,18578,preheat
20906,3039,13821,13841,6084,21724,13449,18580,preheat
20903,3040,13831,13820,6085,21724,13441,18569,preheat
20903,3032,13825,13824,6090,21730,13444,18586,preheat
20908,3200,13835,13833,6087,21700,13447,18573,preheat
20916,3053,13821,13821,6084,21714,13449,18573,preheat
20912,3049,13840,13827,6086,21729,13447,18579,preheat
20900,3036,13832,13829,6088,21716,13451,18575,preheat
20921,3200,13820,13850,6086,21714,13447,18579,preheat
20924,3044,13830,13829,6084,21728,13449,18571,preheat
20910,3046,13814,13818,6088,21712,13451,18579,preheat
20892,3043,13823,13817,6091,21738,13567,18576,preheat
20902,3031,13824,13843,6087,21703,13452,18579,preheat
20911,3059,13827,13827,6084,21730,13448,18571,preheat
20917,3047,13838,13828,6085,21727,13447,18577,preheat
20901,3036,13836,13829,6088,21745,13445,18583,preheat
20919,3030,13827,13843,6084,21719,13452,18584,preheat
20921,3033,13830,13834,6084,21738,13451,18580,preheat
20908,3041,13817,13820,6086,21724,13442,18576,preheat
20897,3042,13818,13828,6089,21717,13451,18587,preheat
20910,3042,13821,13827,6083,21739,13448,18585,preheat
20910,3042,13832,13842,6080,21736,13450,18578,preheat
20921,3038,13822,13820,6090,21738,13444,18586,preheat
20904,3041,13835,13839,6086,21729,13447,18579,preheat
20918,3035,13817,13845,6087,21718,13444,18586,preheat
20903,3032,13838,13833,6086,21744,13441,18568,preheat
20903,3062,13824,13829,6089,21724,13447,18582,preheat
20908,3035,13828,13830,6093,21713,13443,18570,preheat
20918,3027,13832,13829,6083,21739,13445,18577,preheat
20904,3041,13834,13838,6090,21734,13442,18580,preheat
20894,3034,13830,13835,6087,21736,13454,18575,preheat
20929,3036,13818,13837,6093,21718,13446,18579,preheat
20917,3048,13828,13832,6086,21731,13445,18578,preheat
20929,3049,13814,13824,6088,21718,13448,18589,preheat
20894,3066,13822,13827,6087,21720,13453,18576,preheat
20922,3041,13815,13833,6089,21717,13450,18571,preheat
20891,3033,13834,13830,6087,21711,13441,18575,preheat
20905,3041,13816,13826,6086,21717,13444,18594,preheat
20906,3043,13838,13830,6088,21723,13446,18578,preheat
20937,3066,13822,13832,6082,21728,13447,18570,preheat
20910,3043,13837,13835,6088,21729,13563,18576,preheat
20910,3064,13830,13831,6086,21716,13443,18588,preheat
20920,3049,13826,13839,6088,21714,13448,18577,preheat
20916,3045,13819,13830,6085,21737,13444,18574,preheat
20907,3042,13837,13846,6088,21726,13441,18575,preheat
20891,3045,13827,13827,6091,21725,13443,18589,preheat
20906,3064,13824,13847,6086,21716,13449,18579,preheat
20932,3064,13832,13838,6087,21747,13443,18578,preheat
20909,3037,13817,13827,6092,21739,13442,18584,preheat
20893,3035,13823,13839,6089,21719,13451,18587,preheat
20906,3039,13821,13826,6088,21724,13449,18575,preheat
20901,3038,13831,13834,6089,21727,13441,18584,preheat
20901,3043,13830,13825,6094,21726,13566,18580,preheat
20903,3048,13831,13837,6085,21725,13448,18586,preheat
20935,3040,13816,13840,6087,21711,13446,18575,preheat
20914,3050,13831,13831,6085,21726,13441,18565,preheat
20899,3032,13818,13818,6090,21708,13445,18583,preheat
20906,3037,13841,13836,6090,21715,13442,18576,preheat
20909,3054,13832,13825,6086,21714,13443,18572,preheat
20915,3033,13828,13829,6091,21723,13562,18572,preheat
20896,3039,13819,13823,6090,21717,13565,18578,preheat
20904,3200,13820,13844,6087,21694,13444,18584,preheat
20904,3039,13831,13820,6085,21721,13563,18572,preheat
20906,3054,13830,13831,6089,21754,13566,18567,preheat
20911,3027,13819,13824,6092,21743,13440,18589,preheat
20900,3062,13831,13853,6084,21735,13450,18589,preheat
20917,3042,13819,13833,6085,21735,13447,18582,preheat
20912,3046,13829,13837,6088,21743,13443,18573,preheat
20924,3039,13840,13840,6090,21728,13440,18590,preheat
20897,3040,13835,13857,6087,21719,13446,18583,preheat
20917,3042,13817,13833,6088,21722,13446,18583,preheat
20917,3038,13839,13847,6085,21732,13443,18575,preheat
20922,3039,13825,13833,6094,21741,13565,18590,preheat
20896,3038,13837,13830,6087,21707,13449,18585,preheat
20927,3035,13823,13837,6088,21717,13444,18582,preheat
20918,3064,13838,13847,6088,21727,13567,18573,preheat
20896,3060,13823,13839,6092,21731,13567,18586,preheat
20910,3046,13837,13866,6092,21715,13449,18583,preheat
20927,3067,13827,13835,6089,21722,13445,18586,preheat
20913,3035,13838,13833,6089,21742,13441,18579,preheat
20910,3049,13820,13838,6094,21731,13450,18594,preheat
20911,3029,13821,13857,6094,21720,13453,18582,preheat
20906,3041,13827,13846,6089,21723,13441,18587,preheat
20906,3038,13832,13821,6091,21716,13446,18587,preheat
20901,3057,13822,13831,6089,21718,13448,18589,preheat
20917,3042,13827,13835,6090,21722,13446,18583,preheat
20902,3027,13824,13843,6085,21736,13448,18580,preheat
20920,3040,13815,13812,6091,21741,13442,18582,preheat
20892,3045,13822,13843,6091,21705,13450,18587,preheat
20910,3039,13815,13835,6090,21735,13450,18584,preheat
20903,3041,13834,13851,6088,21740,13446,18583,preheat
20923,3057,13821,13821,6094,21744,13440,18582,preheat
20897,3053,13826,13846,6092,21713,13444,18591,preheat
20905,3049,13826,13828,6091,21732,13452,18587,preheat
20899,3045,13820,13832,6089,21732,13447,18579,preheat
20904,3038,13831,13814,6095,21724,13441,18577,preheat
20886,3049,13822,13831,6094,21714,13446,18589,preheat
20901,3057,13818,13829,6093,21701,13440,18579,preheat
20908,3044,13818,13820,6092,21716,13448,18578,preheat
20901,3055,13829,13837,6093,21743,13443,18567,preheat
20906,3052,13823,13831,6093,21717,13566,18588,preheat
20907,3033,13825,13832,6094,21723,13448,18583,preheat
20934,3047,13824,13839,6089,21726,13444,18577,preheat
20915,3046,13835,13827,6093,21719,13566,18574,preheat
20896,3045,13827,13839,6096,21730,13444,18584,preheat
20909,3026,13825,13839,6094,21724,13445,18581,preheat
20926,3062,13833,13843,6091,21729,13443,18578,preheat
20919,3056,13818,13826,6096,21732,13441,18584,preheat
20903,3041,13824,13835,6091,21722,13445,18581,preheat
20924,3055,13817,13835,6093,21727,13444,18581,preheat
20910,3066,13820,13847,6095,21735,13567,18575,preheat
20926,3044,13824,13828,6097,21740,13444,18580,preheat
20924,3034,13831,13839,6094,21720,13444,18582,preheat
20924,3040,13822,13836,6094,21743,13444,18581,preheat
20929,3044,13824,13820,6095,21715,13443,18590,preheat
20906,3051,13826,13837,6096,21716,13449,18578,preheat
20945,3042,13816,13844,6093,21738,13444,18577,preheat
20894,3055,13836,13830,6092,21710,13562,18574,preheat
20911,3035,13820,13829,6094,21726,13564,18587,preheat
20904,3042,13835,13833,6096,21736,13450,18574,preheat
20921,3038,13832,13836,6093,21754,13441,18575,preheat
20899,3032,13831,13833,6099,21717,13566,18577,preheat
20904,3038,13825,13835,6093,21720,13451,18589,preheat
20910,3047,13827,13833,6095,21731,13449,18580,preheat
20910,3048,13819,13842,6092,21771,13444,18571,preheat
20915,3049,13824,13827,6097,21728,13444,18584,preheat
20897,3051,13834,13843,6091,21701,13445,18578,preheat
20914,3046,13825,13828,6096,21717,13442,18577,preheat
20924,3047,13820,13830,6093,21724,13444,18576,preheat
20919,3054,13820,13837,6097,21724,13440,18572,preheat
20902,3045,13831,13834,6097,21724,13444,18588,preheat
20906,3039,13820,13827,6099,21708,13440,18575,preheat
20920,3033,13823,13831,6097,21730,13444,18571,preheat
20904,3030,13822,13831,6098,21710,13566,18568,preheat
20889,3049,13836,13826,6099,21723,13567,18589,preheat
20902,3061,13829,13847,6101,21717,13444,18575,preheat
20916,3052,13818,13831,6097,21753,13441,18570,preheat
20910,3042,13842,13839,6101,21694,13563,18572,preheat
20916,3034,13833,13829,6100,21717,13441,18586,preheat
20914,3045,13828,13843,6100,21710,13449,18581,preheat
20918,3047,13830,13832,6099,21743,13442,18572,preheat
20914,3046,13842,13827,6104,21718,13567,18578,preheat
20893,3033,13833,13837,6099,21711,13445,18583,preheat
20924,3050,13824,13826,6098,21731,13448,18582,preheat
20928,3038,13830,13833,6097,21760,13444,18574,preheat
20920,3029,13822,13823,6101,21727,13566,18585,preheat
20901,3069,13830,13846,6096,21705,13448,18585,preheat
20915,3042,13820,13834,6097,21716,13440,18575,preheat
20919,3027,13840,13834,6101,21740,13566,18574,preheat
20898,3045,13823,13827,6102,21737,13440,18576,preheat
20912,3034,13816,13856,6101,21705,13448,18582,preheat
20927,3027,13829,13832,6100,21728,13448,18576,preheat
20927,3037,13828,13826,6101,21715,13440,18587,preheat
20913,3201,13826,13832,6099,21730,13447,18584,preheat
20931,3048,13829,13846,6099,21714,13443,18585,preheat
20912,3065,13826,13837,6100,21729,13442,18577,preheat
20943,3045,13830,13819,6105,21724,13567,18587,preheat
20912,3040,13824,13836,6102,21712,13566,18573,preheat
20906,3062,13830,13826,6098,21730,13446,18583,preheat
20910,3204,13835,13828,6103,21720,13446,18585,preheat
20925,3042,13822,13837,6102,21729,13457,18583,preheat
20920,3036,13824,13831,6103,21752,13452,18573,preheat
20912,3045,13841,13837,6105,21722,13454,18576,preheat
20903,3041,13827,13828,6106,21730,13462,18588,preheat
20911,3038,13819,13853,6103,21717,13478,18580,preheat
20930,3067,13830,13836,6104,21718,13477,18573,preheat
20917,3044,13834,13831,6110,21743,13487,18584,preheat
20904,3064,13831,13844,6109,21696,13497,18581,preheat
20911,3033,13818,13831,6108,21728,13515,18581,preheat
20910,3061,13840,13845,6112,21726,13527,18580,preheat
20912,3039,13832,13830,6119,21729,13543,18584,preheat
20924,3038,13831,13841,6121,21706,13566,18591,preheat
20929,3045,13841,13833,6119,21725,13721,18584,preheat
20929,3039,13818,13824,6129,21729,13742,18600,preheat
20905,3041,13830,13844,6126,21705,13768,18595,preheat
20933,3040,13814,13837,6136,21720,13793,18597,preheat
20912,3061,13835,13834,6143,21730,13701,18598,preheat
20931,3062,13822,13836,6019,21713,13751,18606,preheat
20916,3045,13828,13845,6024,21718,13776,18599,preheat
20920,3035,13829,13841,6031,21723,13820,18608,preheat
20910,3200,13828,13829,6041,21720,13994,18617,preheat
20920,3052,13829,13858,6047,21693,14057,18612,preheat
20924,3038,13844,13836,6061,21753,13969,18615,preheat
20928,3043,13842,13843,6068,21706,14029,18629,preheat
20904,3044,13842,13859,6081,21714,14227,18642,preheat
20936,3042,13838,13849,6086,21715,14294,18639,preheat
20924,3056,13862,13853,6098,21725,14224,18644,preheat
20934,3052,13856,13855,6113,21727,14300,18668,preheat
20958,3048,13852,13868,6122,21716,14504,18678,preheat
20938,3035,13868,13869,6128,21733,14589,18562,preheat
20960,3048,13849,13863,6283,21735,14533,18567,preheat
20964,3032,13863,13895,6295,21712,14748,18583,preheat
20981,3044,13879,13886,6309,21740,14826,18593,preheat
20968,3046,13884,13884,6321,21739,14794,18618,preheat
20973,3049,13884,13891,6340,21738,15018,18614,preheat
21000,3052,13883,13891,6353,21734,14982,18633,preheat
20985,3041,13911,13908,6377,21731,15077,18648,preheat
20989,3055,13911,13927,6388,21728,15328,18674,preheat
21024,3044,13895,13927,6280,21733,15293,18684,preheat
21018,3045,13919,13937,6298,21734,15526,18827,preheat
21013,3055,13905,13929,6321,21751,15507,18849,preheat
21028,3037,13928,13957,6335,21738,15751,18877,preheat
21041,3032,13918,13945,6355,21729,15857,18889,preheat
21036,3040,13920,13942,6378,21762,15842,18914,preheat
21060,3201,13922,13972,6531,21735,16087,18937,preheat
21041,3032,13948,13975,6549,21760,16080,18830,preheat
21067,3053,13941,13984,6575,21740,16326,18862,preheat
21049,3045,13955,13992,6598,21755,16334,18874,preheat
21100,3049,13949,14000,6621,21751,16578,18902,preheat
21068,3052,13986,14008,6650,21763,16572,18935,preheat
21075,3053,13973,14029,6539,21735,16838,19092,preheat
21093,3044,13983,14021,6567,21776,16832,19105,preheat
21110,3039,13998,14041,6594,21756,17093,19148,preheat
21099,3035,14015,14044,6623,21772,17102,19180,preheat
21148,3053,14011,14072,6648,21789,17356,19083,preheat
21130,3063,14036,14076,6809,21810,17351,19113,preheat
21147,3047,14032,14088,6838,21778,17624,19159,preheat
21155,3041,14026,14107,6867,21801,17612,19179,preheat
21161,3053,14062,14119,6896,21808,17866,19342,preheat
21172,3208,14058,14125,6804,21814,17873,19390,preheat
21188,3047,14066,14149,6832,21821,18142,19424,preheat
21209,3039,14087,14160,6860,21823,18127,19450,preheat
21217,3064,14097,14172,6898,21824,18390,19378,preheat
21243,3056,14094,14215,7062,21827,18390,19420,preheat
21248,3055,14124,14205,7091,21867,18646,19447,preheat
21261,3068,14117,14214,7134,21871,18631,19636,preheat
21272,3049,14142,14250,7040,21853,18884,19666,preheat
21289,3061,14145,14259,7073,21866,18870,19585,preheat
21285,3205,14158,14256,7112,21866,19111,19630,preheat
21308,3205,14164,14297,7150,21865,19113,19672,preheat
21306,3064,14186,14302,7315,21906,19346,19842,preheat
21321,3046,14216,14323,7355,21865,19454,19901,preheat
21323,3055,14226,14340,7385,21896,19445,19940,preheat
21371,3042,14235,14357,7297,21901,19673,19855,preheat
21371,3056,14257,14379,7334,21910,19642,19905,preheat
21375,3071,14274,14409,7377,21924,19884,19964,preheat
21401,3205,14276,14421,7412,21931,19851,20130,preheat
21413,3065,14314,14447,7577,21959,19940,20182,preheat
21420,3057,14314,14469,7618,21966,20174,20106,preheat
21471,3221,14312,14496,7657,21972,20133,20150,preheat
21451,3204,14355,14523,7569,21978,20203,20192,preheat
21479,3063,14373,14539,7609,21992,20437,20386,preheat
21501,3064,14380,14563,7646,22002,20390,20426,preheat
21517,3204,14407,14591,7809,22023,20464,20460,preheat
21512,3067,14408,14612,7855,22024,20679,20396,preheat
21554,3058,14440,14654,7893,22049,20636,20452,preheat
21568,3053,14448,14666,7932,22078,20700,20623,preheat
21564,3212,14467,14687,7848,22065,20908,20674,preheat
21616,3231,14462,14723,7888,22074,20975,20720,preheat
21592,3207,14501,14748,7920,22092,20903,20634,preheat
21610,3220,14520,14767,8091,22099,20973,20689,preheat
21635,3206,14540,14800,8131,22108,21178,20864,preheat
21649,3213,14555,14824,8167,22126,21232,20899,preheat
21656,3206,14589,14845,8087,22142,21163,20958,preheat
21711,3225,14595,14889,8120,22144,21237,20883,preheat
21696,3221,14623,14915,8157,22163,21403,20918,preheat
21723,3205,14639,14934,8325,22192,21467,20974,preheat
21749,3201,14657,14980,8365,22208,21387,21143,preheat
21753,3207,14678,14997,8397,22215,21439,21180,preheat
21768,3234,14696,15023,8444,22213,21482,21235,preheat
21787,3233,14716,15072,8347,22234,21677,21152,preheat
21815,3209,14746,15088,8384,22273,21711,21176,preheat
21832,3209,14777,15115,8425,22270,21632,21239,preheat
21870,3209,14787,15182,8594,22271,21685,21404,preheat
21875,3211,14807,15193,8625,22300,21724,21440,preheat
21911,3217,14829,15208,8668,22319,21892,21486,preheat
21911,3208,14847,15272,8577,22320,21938,21404,preheat
21919,3209,14885,15287,8617,22353,21958,21429,preheat
21924,3209,14900,15322,8651,22353,22004,21484,preheat
21955,3060,14916,15352,8685,22356,21923,21642,preheat
21960,3203,14953,15387,8845,22416,21957,21669,preheat
21993,3231,14964,15421,8893,22386,21984,21719,preheat
21998,3224,14992,15460,8925,22393,22150,21750,preheat
22021,3217,15014,15491,8956,22422,22194,21659,preheat
22035,3068,15038,15502,8873,22455,22212,21700,preheat
22070,3212,15064,15572,8905,22440,22248,21733,preheat
22065,3202,15082,15584,8938,22486,22271,21758,preheat
22104,3208,15126,15619,9101,22483,22177,21941,preheat
22114,3205,15140,15667,9136,22499,22216,21959,preheat
22136,3207,15171,15711,9166,22517,22241,21986,preheat
22145,3209,15185,15727,9209,22529,22256,21899,preheat
22163,3204,15213,15784,9109,22532,22435,21929,preheat
22176,3065,15243,15809,9143,22557,22452,21962,preheat
22196,3209,15254,15829,9178,22591,22478,21995,preheat
22205,3206,15277,15892,9214,22572,22501,22149,preheat
22235,3214,15301,15906,9372,22617,22525,22173,preheat
22244,3216,15331,15944,9408,22599,22415,22221,preheat
22244,3229,15353,15988,9439,22631,22460,22220,preheat
22305,3216,15387,16018,9471,22645,22464,22253,preheat
22293,3219,15432,16045,9383,22667,22482,22158,preheat
22302,3201,15436,16105,9402,22652,22521,22188,preheat
22344,3217,15471,16116,9436,22692,22659,22205,preheat
22350,3220,15480,16154,9600,22695,22684,22242,preheat
22372,3214,15516,16204,9634,22696,22710,22257,preheat
22404,3211,15534,16235,9660,22733,22729,22412,preheat
22410,3210,15556,16271,9696,22733,22747,22456,preheat
22396,3231,15577,16310,9724,22753,22772,22449,preheat
22441,3218,15603,16344,9626,22763,22657,22481,preheat
22459,3070,15646,16372,9666,22777,22659,22510,preheat
22456,3217,15658,16424,9679,22777,22704,22410,preheat
22486,3223,15703,16455,9713,22823,22706,22416,preheat
22521,3208,15710,16485,9874,22830,22733,22453,preheat
22514,3227,15734,16531,9904,22831,22745,22472,preheat
22553,3210,15761,16570,9930,22841,22765,22483,preheat
22556,3214,15794,16602,9966,22847,22771,22523,preheat
22540,3219,15815,16648,9858,22862,22933,22656,preheat
22599,3239,15824,16668,9890,22876,22930,22663,preheat
22578,3214,15865,16709,9922,22871,22942,22692,preheat
22588,3234,15882,16741,9943,22872,22973,22719,preheat
22628,3212,15914,16758,9971,22903,22982,22729,preheat
22629,3228,15938,16819,10130,22926,22992,22755,preheat
22632,3213,15975,16857,10155,22928,23017,22779,preheat
22669,3231,15983,16876,10177,22954,23026,22657,preheat
22687,3217,16027,16920,10210,22964,23032,22684,preheat
22711,3218,16054,16954,10235,23010,22942,22699,preheat
22725,3217,16050,17009,10135,22996,22936,22709,preheat
22706,3222,16105,17026,10153,23003,22941,22718,preheat
22718,3229,16121,17052,10188,22995,22957,22760,preheat
22736,3214,16137,17084,10210,23000,22979,22750,preheat
22752,3216,16166,17126,10236,23025,22987,22764,preheat
22761,3218,16193,17149,10390,23022,22993,22920,preheat
22769,3218,16231,17205,10415,23040,23019,22951,preheat
22788,3250,16256,17218,10433,23052,23029,22950,preheat
22835,3223,16274,17266,10453,23091,23035,22960,preheat
22840,3221,16298,17293,10489,23079,23036,22990,preheat
22823,3222,16327,17330,10378,23097,23196,22995,preheat
22867,3223,16337,17351,10396,23100,23197,23005,preheat
22854,3231,16375,17378,10418,23097,23195,23007,preheat
22866,3238,16377,17400,10446,23110,23204,23038,preheat
22860,3216,16437,17450,10468,23108,23226,22919,preheat
22895,3219,16422,17476,10486,23139,23243,22928,preheat
22904,3230,16481,17512,10641,23172,23238,22933,preheat
22929,3224,16499,17541,10665,23171,23250,22965,preheat
22933,3208,16532,17575,10684,23156,23272,22974,preheat
22959,3222,16550,17613,10706,23184,23285,22989,preheat
22974,3215,16562,17637,10726,23199,23283,22988,preheat
22967,3237,16589,17649,10750,23197,23278,23007,preheat
22979,3221,16623,17701,10641,23182,23182,23020,preheat
23006,3220,16644,17695,10666,23230,23176,23026,preheat
22993,3235,16670,17740,10681,23210,23187,23170,preheat
23008,3235,16684,17774,10711,23254,23192,23182,preheat
23030,3211,16699,17803,10724,23248,23215,23197,preheat
23030,3233,16731,17845,10741,23269,23227,23211,preheat
23059,3229,16756,17857,10888,23286,23227,23221,preheat
23042,3231,16774,17900,10910,23248,23239,23232,preheat
23068,3232,16796,17913,10933,23282,23244,23222,preheat
23059,3229,16834,17939,10952,23276,23247,23252,preheat
23067,3237,16848,17965,10968,23309,23264,23251,preheat
23101,3229,16866,18006,10988,23294,23270,23266,preheat
23110,3222,16897,18026,10881,23332,23270,23261,preheat
23115,3222,16928,18050,10899,23315,23278,23290,preheat
23116,3226,16957,18089,10914,23305,23292,23292,preheat
23135,3221,16957,18101,10935,23351,23290,23287,preheat
23140,3244,16982,18134,10959,23325,23431,23177,preheat
23129,3232,16998,18154,10975,23346,23440,23194,preheat
23148,3237,17027,18188,10984,23344,23452,23202,preheat
23176,3235,17056,18205,11005,23368,23444,23200,preheat
23191,3240,17083,18232,11153,23366,23450,23225,preheat
23186,3238,17116,18286,11166,23376,23461,23230,preheat
23189,3228,17126,18288,11178,23413,23480,23237,preheat
23222,3219,17157,18300,11206,23387,23471,23251,preheat
23200,3240,17178,18351,11214,23389,23491,23256,preheat
23235,3259,17171,18372,11231,23396,23495,23265,preheat
23213,3228,17222,18398,11245,23425,23483,23261,preheat
23226,3232,17221,18400,11139,23422,23510,23278,preheat
23230,3223,17233,18437,11156,23433,23508,23282,preheat
23280,3224,17262,18454,11164,23457,23512,23292,preheat
23263,3230,17301,18462,11180,23447,23510,23435,preheat
23231,3220,17320,18509,11195,23450,23536,23431,preheat
23283,3229,17331,18529,11210,23457,23529,23446,preheat
23293,3232,17350,18549,11220,23476,23548,23445,preheat
23289,3244,17376,18580,11248,23460,23550,23465,preheat
23272,3222,17404,18593,11258,23494,23551,23453,preheat
23284,3233,17393,18636,11401,23480,23439,23478,preheat
23293,3238,17449,18634,11415,23506,23430,23475,preheat
23337,3257,17475,18659,11429,23486,23432,23503,preheat
23332,3229,17490,18700,11444,23501,23444,23485,preheat
23351,3231,17496,18709,11456,23523,23451,23494,preheat
23357,3244,17530,18709,11473,23514,23444,23517,preheat
23335,3221,17543,18764,11480,23516,23470,23517,preheat
23376,3257,17552,18768,11492,23518,23468,23511,preheat
23352,3215,17583,18771,11514,23537,23465,23529,preheat
23358,3230,17585,18818,11518,23530,23486,23531,preheat
23374,3223,17608,18825,11410,23559,23474,23526,preheat
23365,3226,17641,18848,11422,23549,23486,23549,preheat
23362,3229,17658,18876,11434,23553,23495,23541,preheat
23394,3228,17668,18908,11438,23565,23492,23547,preheat
23396,3247,17706,18931,11459,23569,23480,23431,preheat
23400,3220,17710,18939,11466,23579,23509,23446,preheat
23429,3231,17712,18950,11479,23573,23512,23439,preheat
23400,3238,17748,18976,11486,23587,23501,23424,preheat
23407,3256,17747,18984,11504,23577,23510,23463,preheat
23423,3231,17767,19016,11516,23584,23524,23463,preheat
23436,3235,17806,19029,11518,23619,23525,23468,preheat
23459,3223,17819,19038,11664,23616,23519,23475,preheat
23452,3231,17837,19090,11678,23617,23537,23476,preheat
23446,3245,17850,19091,11687,23624,23535,23484,preheat
23452,3237,17862,19113,11698,23632,23539,23491,preheat
23455,3258,17897,19146,11707,23599,23683,23491,preheat
23462,3226,17900,19135,11718,23634,23542,23485,preheat
23468,3220,17927,19163,11737,23610,23544,23505,preheat
23439,3256,17934,19187,11742,23619,23688,23504,preheat
23491,3223,17944,19188,11744,23655,23686,23509,preheat
23489,3220,17971,19205,11762,23647,23693,23516,preheat
23473,3228,18001,19244,11774,23645,23709,23523,preheat
23500,3241,17989,19251,11650,23670,23704,23524,preheat
23495,3223,18032,19251,11659,23679,23694,23524,preheat
23487,3231,18026,19277,11675,23655,23720,23533,preheat
23503,3230,18050,19289,11684,23683,23699,23528,preheat
23508,3230,18069,19302,11684,23675,23704,23538,preheat
